City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,praia da vitoria,38.7333,-27.0667,24.14,88,75,9.49,PT,1727656030
163,pula,44.8683,13.8481,13.31,54,0,7.2,HR,1727656032
164,college,64.8569,-147.8028,12.26,48,20,2.06,US,1727655844
165,ulsteinvik,62.3432,5.8487,8.07,68,84,5.39,NO,1727656035
166,nuuk,64.1835,-51.7216,5.34,100,100,19.55,GL,1727655957
167,berezovyy,51.6667,135.7,1.88,100,100,0.25,RU,1727656038
168,lihue,21.9789,-159.3672,28.77,67,0,5.66,US,1727656040
169,nekrasovskoye,57.6766,40.3657,9.94,100,100,2.0,RU,1727656041
170,woods creek,47.8787,-121.8985,15.8,59,31,2.58,US,1727656044
171,shingu,33.7333,135.9833,22.39,90,100,4.7,JP,1727656046
172,saipan,15.1355,145.701,32.39,66,40,5.14,MP,1727655949
173,usogorsk,63.4106,48.6872,7.05,91,99,2.64,RU,1727656049
174,quezon,7.7303,125.0989,25.93,84,100,0.21,PH,1727656051
175,wailua homesteads,22.0669,-159.378,28.44,72,0,5.66,US,1727656052
176,hamilton,39.1834,-84.5333,21.08,94,100,2.57,US,1727656054
177,tazovsky,67.4667,78.7,7.03,97,100,4.99,RU,1727656055
178,udachny,66.4167,112.4,-1.01,96,100,4.58,RU,1727656057
179,gua musang,4.8823,101.9644,23.48,97,79,0.43,MY,1727656058
180,shiguai,40.7058,110.2856,6.61,67,100,4.93,CN,1727656060
181,saldanha,-33.0117,17.9442,7.03,70,22,5.87,ZA,1727656062
182,rio grande,-32.035,-52.0986,17.84,88,3,5.28,BR,1727656063
183,muisne,0.6,-80.0333,24.0,83,96,3.57,EC,1727656065
184,boende,-0.2167,20.8667,21.1,96,85,1.07,CD,1727656066
185,burgersdorp,-30.9977,26.3286,4.99,42,39,2.1,ZA,1727656068
186,valabhipur,21.8833,71.8667,25.23,90,98,2.84,IN,1727656070
187,sinop,41.7711,34.8709,18.8,49,0,3.51,TR,1727656071
188,hami,42.8,93.45,6.83,29,0,4.47,CN,1727656073
189,mont-dore,-22.2833,166.5833,25.56,99,39,7.61,NC,1727656075
190,baiyin,36.5583,104.2081,7.98,60,100,4.75,CN,1727656076
191,hanceville,34.0607,-86.7675,22.31,94,90,1.51,US,1727656078
192,kifri,34.6959,44.9661,27.27,23,0,7.57,IQ,1727656081
193,la manga del mar menor,37.6413,-0.7165,20.15,69,3,4.3,ES,1727656083
194,sisimiut,66.9395,-53.6735,5.16,87,100,9.46,GL,1727656084
195,yorkton,51.2167,-102.4677,23.91,46,0,4.12,CA,1727656086
196,huoqiu chengguanzhen,32.3547,116.2939,24.43,82,61,2.62,CN,1727656088
